protocol_name,date_of_attack,amount_lost,attack_type
Kingfund Finance,01/20/2022,300 WBNB,Scam
AFKSystem,01/19/2022,"$12,000,000",Scam
Crypto.com,01/18/2022,"4,836.26 ETH + 443.93 BTC + $ 66,200",Unauthorized Withdrawal
Multichain,01/18/2022,450 ETH,Contract vulnerabilities
Crosswise,01/18/2022,"879,000",Use privileged functions
Crypto Burger,01/17/2022,-,Contract vulnerabilities
CityDAO,01/15/2022,29.67 ETH,Discord admin account hacked
Rari Capital,01/15/2022,"$200,000",price manipulation
Frosties,01/13/2022,"$1,000,000",Scam
Multiple IDO Projects,01/12/2022,5744 BNB,Scam
LooksRare,01/11/2022,-,DDos attack
Lympo,01/10/2022,"$18,700,000",Hot Wallet Security Vulnerability
LCX,01/09/2022,"$6,000,000",Stolen hot wallet
Arbitrum One,01/09/2022,-,Downtime
StoboxCompany,01/07/2022,-,Private key leak
DaoMetaland,01/07/2022,640 BNB,Scam
Bored Bunny,01/06/2022,"2,000 ETH",Scam
Moon Rabbit,01/05/2022,-,Scam
Arbix Finance,01/04/2022,"$10,000,000",Scam
Tinyman Pools,01/01/2022,-,Contract vulnerabilities
Bitmart,12/04/2021,"$196,000,000",
Compound,9/29/2021,"$147,000,000",
VulcanForged,12/13/2021,"$140,000,000",
Cream Finance,10/27/2021,"$130,000,000",
BadgerDAO,12/02/2021,"$120,000,000",
Ascendex,12/12/2021,"$77,700,000",
EasyFi,4/19/2021,"$59,000,000",
Uranium,4/28/2021,"$57,200,000",
bZx,11/05/2021,"$55,000,000",
Pancake Bunny,5/19/2021,"$45,000,000",
epichackhomie,9/29/2020,"$45,000,000",
Alpha Finance,2/13/2021,"$37,500,000",
Vee Finance,9/21/2021,"$34,000,000",
Crypto.com,1/18/2022,"$33,700,000",
Meerkat Finance,03/04/2021,"$32,000,000",
MonoX,11/30/2021,"$31,400,000",
Spartan Protocol,05/02/2021,"$30,500,000",
Grim Finance,12/18/2021,"$30,000,000",
StableMagnet,6/23/2021,"$27,000,000",
Paid Network,03/05/2021,"$27,000,000",
Harvest Finance,10/26/2020,"$25,000,000",
X-Token,5/12/2021,"$24,000,000",
popsicle,08/03/2021,"$20,000,000",
Pickle Finance,11/22/2020,"$19,700,000",
Cream Finance,8/30/2021,"$18,800,000",
Snowdog,11/25/2021,"$18,100,000",
Bearn.Fi,5/17/2021,"$18,000,000",
Indexed Finance,10/14/2021,"$16,000,000",
eminenceinprod,9/28/2020,"$15,000,000",
Furucombo,2/27/2021,"$14,000,000",
Death Bed Confessionsc3pr,12/02/2020,"$12,000,000",
Value DeFi,05/07/2021,"$11,000,000",
Yearn Finance,02/05/2021,"$11,000,000",
arbix,01/04/2022,"$10,000,000",
Rari Capital,05/08/2021,"$10,000,000",
Value DeFi,05/05/2021,"$10,000,000",
cover,12/29/2020,"$9,400,000",
Punk Protocol,8/10/2021,"$8,950,000",
visorfinance,12/21/2021,"$8,200,000",
THORChain,7/22/2021,"$8,000,000",
Hackepidemic,11/17/2020,"$8,000,000",
LCX,01/08/2022,"$7,940,000",
AnySwap,7/10/2021,"$7,900,000",
Warp Finance,12/18/2020,"$7,800,000",
BurgerSwap,5/28/2021,"$7,200,000",
Value DeFi,11/14/2020,"$7,000,000",
Alchemix,6/16/2021,"$6,500,000",
belt,5/29/2021,"$6,300,000",
